358,阿巴嘎旗,136.12,64.12,不规则区域,断层,白垩纪,逆冲断层发育，断层带内构造角砾岩发育,阿巴嘎旗地区发育白垩纪逆冲断层，断层带内构造角砾岩发育，断层两侧地层有明显挤压变形，对区域构造运动有重要指示意义。,1
174,阿尔卑斯山冰川,10,45,线状,冰川,新生代,冰川发育良好，冰川地貌丰富,阿尔卑斯山冰川是新生代冰川，发育良好，冰川地貌丰富，是研究冰川作用的重要地区。,1
436,阿尔卑斯山冰川,10,45,线状,冰川,新生代,冰川发育良好，冰川地貌丰富,阿尔卑斯山冰川是新生代冰川，发育良好，冰川地貌丰富，是研究冰川作用的重要地区。,1
127,阿尔卑斯山冰川遗迹,10,45,面状,冰川遗迹,新生代,冰川遗迹发育良好，冰川地貌丰富,阿尔卑斯山冰川遗迹是新生代冰川遗迹，发育良好，冰川地貌丰富，是研究冰川作用的重要地区。,1
37,阿尔卑斯山脉,10.5,45,线状,山脉,新生代,山脉由花岗岩和变质岩组成，山体陡峭,阿尔卑斯山脉是新生代山脉，由花岗岩和变质岩组成，山体陡峭，是研究区域构造演化的重要地区。,1
488,美国天坑,117,37,坑状,天坑,新生代,天坑发育良好，坑壁陡峭,阿尔卑斯褶皱带是欧洲南部的重要构造带，由非洲板块与欧亚板块碰撞形成，褶皱和断层构造发育。,0
4,阿尔卑斯褶皱带,10.5,45,带状,褶皱,新生代,复式褶皱与逆冲断层发育，地层变形复杂,阿尔卑斯褶皱带是欧洲南部的重要构造带，由非洲板块与欧亚板块碰撞形成，褶皱和断层构造发育。,1
382,阿尔哈沙特,160.12,76.12,不规则区域,断层,白垩纪,逆冲断层发育，断层带内构造角砾岩发育,阿尔哈沙特地区发育白垩纪逆冲断层，断层带内构造角砾岩发育，断层两侧地层有明显挤压变形，对区域构造运动有重要指示意义。,1
33,阿尔泰山脉,88,47,线状,山脉,新生代,山脉由花岗岩和变质岩组成，山体陡峭,阿尔哈沙特地区发育白垩纪逆冲断层，断层带内构造角砾岩发育，断层两侧地层有明显挤压变形，对区域构造运动有重要指示意义。,0
114,华北平原土质层,116,39,面状,土质,新生代,土质层发育良好，土壤肥沃,阿尔金断裂带是中国西北地区的重要构造带，由多条逆冲断层组成，对区域构造演化有重要意义。,0
